customerKey,sex,isMarried,isEmployed,hasNewBaby,age,educationLevel,occupationCategory,annualIncome,race,primaryLanguage,childrenNum,avgPurchaseAmount
a8656ffa-5,Male,0,0,0,79,"High school",NULL,94257,White,English,0,250.86
2ca2aa4671,Male,0,0,0,79,"High school",NULL,94257,White,English,0,315.23
2ca2ab2239,Female,0,1,0,52,"High school","Food preparation",55167,White,English,0,250.94
2ca2abfe61,Female,1,0,0,74,"High school",NULL,97765,White,English,0,300.68
a8657072-5,Female,1,1,0,61,College,Sales,0,White,Spanish,0,208.06
2ca2acda67,Female,1,1,0,23,College,"Food preparation",128470,White,English,3,389.74
2ca2adb657,Male,0,1,0,41,College,"Law enforcement",69967,White,English,0,230.57
2ca2ae9232,Female,0,1,0,54,"High school",Management,55235,Mixed,Spanish,0,257.53
2ca2af6e93,Female,0,0,0,30,College,NULL,98497,White,Spanish,3,420.70
2ca2b04a01,Female,1,1,0,62,"High school",Sales,88722,White,English,0,448.54
2ca2b16214,Male,0,1,0,37,College,"Business and finance",44780,White,English,5,318.67
a865716c-5,Female,0,1,0,61,"High school",Sales,198796,White,English,0,229.20
2ca2b24896,Female,0,1,0,61,"High school",Sales,198796,White,English,0,348.10
2ca2b31a72,Male,1,1,0,32,"High school","Sports, media, and entertainment",113767,White,Spanish,4,388.73
2ca2b3f671,Male,1,1,0,62,College,Transportation,49089,White,English,0,269.13
2ca2b4c891,Female,1,0,0,83,"High school",NULL,184181,White,English,0,324.62
2ca2b5a472,Male,1,0,0,40,College,NULL,66111,White,English,5,385.77
a86572de-5,Male,0,1,0,42,"High school","Personal care",4528,White,Spanish,0,196.16
2ca2b68047,Female,0,1,0,62,"High school","Sanitation and maintenance",101554,White,Spanish,0,257.59
2ca2b75220,Male,1,1,0,35,College,"Sanitation and maintenance",53742,White,English,2,333.71
2ca2b82e19,Male,0,1,0,42,"High school","Business and finance",60656,White,English,0,242.07
a86573ce-5,Male,0,1,0,51,"College advanced",Transportation,41544,"African american",English,0,225.78
2ca2b91488,Male,0,1,0,51,"College advanced",Transportation,41544,"African american",English,0,267.79
2ca2b9f008,Male,0,1,0,25,"High school","Machine maintenance",47332,White,Spanish,0,225.55
2ca2bacc44,Male,0,1,0,63,College,Education,117095,White,English,0,320.16
a8657446-5,Male,0,1,0,57,"High school","Office administrative support",146339,White,English,0,268.36
2ca2bb9e62,Male,0,1,0,57,"High school","Office administrative support",146339,White,English,0,231.64
2ca2bc7a41,Female,0,1,0,28,College,"Food preparation",176546,White,English,2,378.66
2ca2bd5635,Female,0,0,0,60,College,NULL,90712,White,Spanish,0,274.04
2ca2be3231,Female,0,1,0,23,College,"Sanitation and maintenance",79279,White,English,5,312.68
2ca2bf0432,Female,0,1,0,56,College,"Social services",42869,White,English,0,238.72
2ca2bfe071,Female,0,1,0,48,"High school",Management,51469,White,English,0,255.98
2ca2c0f873,Female,1,1,0,34,College,"Material moving",123872,White,Spanish,0,269.13
2ca2c2b006,Male,0,0,0,58,Basic,NULL,103443,White,English,0,302.37
2ca2c38c20,Female,0,1,0,56,"High school","Food preparation",103352,White,Spanish,0,308.15
2ca2c46801,Male,0,1,0,19,"College advanced","Food preparation",58579,"African american",European,2,271.01
2ca2c53a01,Male,0,0,0,61,"High school",NULL,127682,White,Spanish,0,303.76
2ca2c61685,Male,0,1,0,34,"High school","Office administrative support",47654,White,English,0,223.42
2ca2c6e883,Male,1,1,0,57,"High school",Sales,55191,"African american",English,0,362.89
2ca2c7ba19,Male,0,1,0,25,College,"Software engineering and math",64995,White,English,7,284.62
2ca2c88c20,Female,1,0,0,81,College,NULL,59453,White,English,0,250.90
a86574be-5,Male,0,0,0,46,College,NULL,68604,White,English,0,309.59
2ca2c96830,Male,0,0,0,46,College,NULL,68604,White,English,0,238.18
2ca2ca4473,Male,1,1,0,62,"High school","Construction and extraction",126155,White,Spanish,0,331.41
2ca2cb1604,Female,0,1,0,60,College,Legal,82326,White,Spanish,0,246.11
a8657540-5,Male,1,0,0,71,College,NULL,177166,White,English,0,337.42
2ca2cbf226,Male,1,0,0,71,College,NULL,177166,White,English,0,284.28
2ca2ccc486,Male,0,1,0,63,Basic,Management,134744,White,Other,0,291.42
2ca2cda094,Male,0,1,0,37,"High school",Transportation,90716,White,Spanish,3,341.39
2ca2ce7226,Male,1,0,0,23,College,NULL,191802,White,English,1,348.17
2ca2cf4e12,Female,1,1,0,51,"High school","Healthcare technology",55878,White,English,0,289.43
2ca2d02078,Female,1,1,0,57,College,"Personal care",86757,White,English,0,320.78
2ca2d0fc19,Male,1,1,0,32,"High school",Management,99084,White,Spanish,0,372.15
2ca2d1d850,Male,0,0,0,65,College,NULL,63654,"African american",English,0,269.22
2ca2d2aa47,Female,0,1,0,39,College,"Healthcare support",128573,White,English,5,346.09
2ca2d38656,Female,0,1,0,46,College,"Material moving",141142,White,English,0,307.49
2ca2d46219,Female,1,1,0,40,Basic,Sales,88294,"African american",English,6,365.26
2ca2d53e92,Male,1,1,0,43,"College advanced",Transportation,71301,"African american",English,0,263.90
2ca2d61032,Female,0,1,0,27,"High school",Sales,81719,White,Spanish,2,274.59
2ca2d6ec13,Female,0,1,0,61,"College advanced","Business and finance",61489,White,English,0,253.71
2ca2d7c825,Male,0,1,0,47,"High school",Sales,64978,White,English,0,271.26
a8657630-5,Female,0,0,0,71,College,NULL,22711,White,English,0,190.96
2ca2d8a432,Female,0,1,0,57,"High school","Office administrative support",70662,"African american",English,0,230.48
2ca2d98030,Male,1,1,0,53,College,"Healthcare practice",48631,White,Spanish,0,284.97
2ca2da5c69,Male,0,1,0,29,"High school","Business and finance",140931,Asian,European,2,423.10
a86576b2-5,Female,0,0,0,73,"High school",NULL,118685,White,Spanish,0,261.69
2ca2db3876,Female,0,0,0,73,"High school",NULL,118685,White,Spanish,0,248.38
a865772a-5,Female,1,1,0,28,"High school",Management,73918,White,English,2,240.82
2ca2dc0a30,Female,1,1,0,28,"High school",Management,73918,White,English,2,328.37
2ca2dcf029,Female,0,0,0,19,College,NULL,46738,White,Spanish,0,231.14
2ca2ddcc96,Female,1,1,0,25,"High school","Office administrative support",153128,White,European,0,293.49
2ca2de9e84,Female,1,0,0,36,College,NULL,46166,White,English,5,364.55
a86577a2-5,Female,0,1,0,61,"High school",Management,26923,"African american",English,0,240.92
a865781a-5,Male,0,1,0,55,"High school",Education,59628,White,English,0,288.59
2ca2df7a77,Male,0,1,0,55,"High school",Education,59628,White,English,0,264.66
2ca2e05616,Male,0,1,0,28,"High school",Management,123994,White,Asian,5,400.42
2ca2e13231,Male,1,1,0,42,"High school","Material production",58470,White,English,0,258.66
2ca2e20432,Female,0,0,0,66,"High school",NULL,89988,White,English,0,343.92
2ca2e2e077,Female,0,1,0,49,"High school",Management,125733,White,Spanish,0,289.28
a8657892-5,Male,0,0,0,49,"High school",NULL,31349,White,Spanish,0,230.97
2ca2e3bc96,Female,0,1,0,41,"College advanced",Science,47317,White,English,0,236.47
2ca2e49864,Female,0,1,0,26,"College advanced",Transportation,55869,White,English,5,344.09
2ca2e56a50,Male,0,0,0,78,College,NULL,74687,White,English,0,247.89
2ca2e65081,Male,0,0,0,77,"High school",NULL,85361,White,Spanish,0,271.65
2ca2e72c08,Male,0,1,0,19,College,Education,118785,White,European,4,392.20
a865790a-5,Female,1,1,0,66,College,Management,47284,White,English,0,249.94
2ca2e7fe01,Female,1,1,0,66,College,Management,47284,White,English,0,281.70
2ca2e90c89,Female,0,1,0,42,"College advanced","Construction and extraction",85353,White,Spanish,0,307.81
2ca2e9fc57,Female,1,1,0,25,Basic,Transportation,51097,White,English,1,332.35
2ca2eae215,Female,1,1,0,20,"High school","Sanitation and maintenance",117367,"African american",European,1,365.39
2ca2ebc843,Female,0,1,0,45,"High school","Material production",41112,White,English,0,234.34
a86579fa-5,Female,0,1,0,38,College,"Construction and extraction",67416,White,English,2,324.26
2ca2eca441,Female,0,1,0,38,College,"Construction and extraction",67416,White,English,2,296.61
2ca2ee5265,Female,0,1,0,52,Basic,Sales,114580,"African american",English,0,250.72
97072c7a-a,Female,0,0,1,39,"High school",NULL,19289,White,English,4,274.77
a8657aea-5,Female,1,1,0,37,"High school",Transportation,187719,White,English,6,376.21
2ca2ef2429,Female,1,1,0,37,"High school",Transportation,187719,White,English,6,344.81
2ca2f00094,Male,0,1,0,28,Basic,"Office administrative support",44783,White,European,1,271.52
2ca2f0d250,Male,0,1,0,56,"High school","Healthcare support",164410,White,Asian,0,303.77
2ca2f1a462,Female,1,1,0,38,"High school","Material moving",95374,"African american",European,0,343.80
2ca2f28087,Male,1,1,0,20,College,"Healthcare support",44175,White,English,0,300.84
2ca2f35c11,Female,1,1,0,47,"High school",Sales,144832,"African american",Spanish,0,353.49
2ca2f42e37,Female,0,1,0,34,"High school",Education,125966,White,English,2,340.39
2ca2f50a02,Female,0,0,0,65,College,NULL,89382,White,Spanish,0,289.74
2ca2f5e614,Female,0,1,0,29,"High school","Material moving",85929,"African american",English,5,350.14
2ca2f6c269,Male,0,1,0,40,College,Management,66899,"African american",Spanish,4,391.36
2ca2f79e49,Male,0,0,0,24,College,NULL,98429,White,English,2,389.85
a8657c5c-5,Male,0,1,0,44,College,Sales,17116,"African american",Spanish,0,221.51
2ca2f96a54,Male,0,0,0,82,"High school",NULL,62705,White,English,0,211.42
2ca2fa5a28,Male,1,1,0,54,"High school","Personal care",76479,White,English,0,330.56
2ca2fb4080,Female,1,1,0,62,"High school",Management,185610,White,English,0,274.54
2ca2fc1c38,Female,1,0,0,65,"High school",NULL,118741,White,English,0,355.85
2ca2fcf849,Male,1,1,0,43,College,Education,65198,White,English,0,300.60
2ca2fdd461,Female,0,1,0,27,"High school","Office administrative support",48563,White,European,1,299.83
a8657cd4-5,Male,0,1,0,35,College,"Machine maintenance",52113,"African american",English,2,319.65
2ca2fec471,Male,0,1,0,35,College,"Machine maintenance",52113,"African american",English,2,303.10
a8657d56-5,Female,0,1,0,58,"High school",Sales,38085,White,European,0,219.86
