customerKey,sex,age,educationLevel
2ca648ea09,Female,33,College
2ca917d264,Male,25,College
2cb25d1076,Female,31,College
2cb263c894,Male,72,College
2ca27b0c08,Female,48,"High school"
2ca5daea08,Male,50,"High school"
2caca9b081,Male,19,Basic
2cb21f9e44,Male,55,"High school"
2cae8fa015,Male,40,College
2cad01da54,Male,54,Basic
2cad18d235,Male,26,"High school"
2cab2a4a05,Male,49,Basic
2cb2a2a288,Female,46,"College advanced"
2caffec699,Male,52,College
2ca57ef693,Male,27,"High school"
2ca6a4f216,Female,20,College
2ca6f3bc52,Male,47,"High school"
2ca3e56e05,Female,66,College
2cb086de44,Female,40,College
2cabe80e67,Female,58,"College advanced"
2cae65b600,Male,70,"High school"
2caa972e52,Male,69,"High school"
2cb26fc669,Male,84,"High school"
2ca7790e26,Male,63,"High school"
2ca7dc3252,Female,38,College
2cb2850628,Male,41,"College advanced"
2cad3baa43,Female,36,College
2cabd11627,Male,26,"High school"
2ca4407232,Male,60,"High school"
2ca8d21882,Male,34,Basic
2ca6f20473,Male,51,"High school"
2ca6b73043,Male,46,"High school"
2ca6dfb212,Male,63,Basic
2cb223ea00,Female,54,"College advanced"
2cab907a63,Female,32,Basic
2ca5456289,Male,51,College
2cae683672,Male,63,"High school"
2cabc53649,Female,21,"High school"
2ca7f6b845,Female,73,"High school"
2cb0b11837,Female,59,College
2cae82f838,Male,62,"High school"
2ca608c636,Male,35,"College advanced"
2cb1f3fc35,Female,36,"High school"
2ca3c9d050,Female,40,Basic
2ca3a70274,Female,46,College
2ca20b5e90,Male,44,"High school"
2ca3944c59,Female,30,"High school"
2ca90d6e07,Female,33,Basic
2caa69b644,Female,26,"High school"
2ca981ea07,Male,37,Basic
2cb24d2a94,Male,73,College
2cac1fe070,Female,19,"High school"
2cab5d0831,Female,38,"High school"
2ca359dc74,Male,60,"High school"
2cac316020,Male,22,"High school"
2caa132634,Female,45,College
2ca41cfa57,Female,51,College
2cb0f3bc93,Female,68,"High school"
2ca7ba5e18,Female,48,College
2ca8973a82,Male,44,"High school"
2cb1970439,Female,27,"High school"
2cae054438,Male,35,Basic
2ca3508631,Male,59,College
2cad24e480,Male,41,"High school"
2ca5f0fc72,Male,45,"High school"
2cb322fe06,Female,68,"High school"
2ca8db0078,Male,38,"High school"
2caab18263,Female,28,"High school"
2cb0fe3438,Male,62,"High school"
2ca7ab0e65,Male,61,"High school"
2ca465b613,Male,31,College
2ca285a224,Female,67,Basic
2cb1e46628,Male,51,"High school"
2cb0d3e640,Male,39,"College advanced"
2cad7d9a29,Female,32,"High school"
2ca68efe51,Male,53,"High school"
2cae166a53,Female,77,College
2cad947494,Male,38,College
2ca76bee37,Female,72,"High school"
2ca9bdd658,Female,18,"High school"
2cad3ace73,Male,58,"High school"
2ca60a7493,Male,20,"High school"
2cab9d4093,Female,21,"High school"
2cb1a3f201,Male,64,"High school"
2cb0a2d633,Male,61,"High school"
2ca8fa4a21,Male,51,"High school"
2ca6e23281,Male,74,Basic
2ca3c30426,Male,52,Basic
2ca2556e93,Female,34,College
2ca826ba66,Female,58,College
2caa54c638,Female,35,"College advanced"
2cad845c77,Female,68,"College advanced"
2cae8a7804,Female,49,"High school"
2cb23d9e03,Male,39,"High school"
2cadf52230,Female,67,College
2ca97bdc77,Male,57,"College advanced"
2ca731c493,Male,67,"High school"
2ca3ab4409,Female,84,"High school"
2cb11c7a35,Male,34,"High school"
2caf618254,Female,40,"High school"
2cafa32233,Male,63,College
2ca6378811,Male,20,"High school"
2ca724a415,Female,59,College
2cae50bc61,Female,53,"High school"
2ca5a0fc32,Male,19,College
2ca542ce43,Male,39,"High school"
2cb0c73464,Male,24,"High school"
2ca85afe24,Female,36,"High school"
2cb0ee8095,Male,29,"High school"
2ca99a4005,Male,76,College
2ca2d0fc19,Male,32,"High school"
2ca57af097,Female,43,"High school"
2caf3f0469,Male,64,College
2cae328091,Male,39,"High school"
2ca7282893,Female,39,College
2ca2e7fe01,Female,66,College
2cafb93443,Male,49,College
2ca9afe406,Female,72,College
2ca30dc434,Female,39,"College advanced"
2ca3ac2088,Male,57,College
2cad97bc19,Female,33,"High school"
2ca91fb622,Male,40,College
2caa4c5689,Female,20,College
2ca8383a02,Male,29,College
2cb305ee64,Male,55,"College advanced"
2cb1dda439,Female,54,"High school"
2cb1d89068,Male,41,"College advanced"
2cae668858,Female,47,College
2cae36ea10,Female,59,Basic
2ca7399e49,Male,58,"High school"
2cb0428c23,Female,36,College
2cb2776484,Female,59,College
2cb0453e78,Female,47,College
2ca2d1d850,Male,65,College
2caed5aa52,Female,25,"High school"
2cb2ec5864,Female,29,"High school"
2caa4d3290,Female,44,College
2ca9ca9c63,Male,37,College
2cb1910069,Female,55,College
2cab128054,Male,28,"High school"
2cace29a79,Male,23,"High school"
2caa91f272,Male,54,"High school"
2ca6ef4810,Female,37,"High school"
2cac86d809,Male,53,"High school"
2ca30e9653,Female,20,College
2caf56b099,Male,83,Basic
2ca9b1ba88,Female,47,"High school"
2cafd9a080,Male,38,"High school"
2ca59f4458,Female,67,"High school"
2cb21ab299,Female,72,College
2caa67ea63,Male,69,College
2cae07ba06,Male,56,College
2ca2ee5265,Female,52,Basic
2ca6393613,Female,42,College
2caf3fd601,Male,47,College
2ca610d215,Male,67,"High school"
2cb1694667,Male,60,College
2cad037e89,Male,60,"High school"
2ca6928228,Male,43,"High school"
2ca3f5ae44,Male,27,"High school"
2cb257fc90,Female,29,"High school"
2caf848c82,Female,37,"High school"
2cab21e406,Male,72,"High school"
2cb0d30073,Female,30,"High school"
2cadf01879,Female,47,College
2ca43f8c78,Male,53,College
2ca674b493,Female,35,College
2ca5481e17,Male,59,"High school"
2caa894615,Male,54,"High school"
2caea5f852,Female,20,College
2ca3edfc38,Female,45,College
2ca35b8a76,Female,65,Basic
2cab615444,Female,24,College
2ca418ae85,Female,25,College
2cad542869,Male,38,Basic
2caaa17e11,Female,78,College
2ca805f498,Male,35,"High school"
2ca6857686,Male,67,College
2ca24a1073,Female,79,Basic
2ca6420a59,Female,59,"High school"
2cab8dfa51,Female,45,"High school"
2ca3f68a31,Male,49,"High school"
2ca58f5e75,Female,58,"High school"
2ca2a45675,Female,56,"High school"
2cacfb1808,Female,52,Basic
2caabd9497,Female,33,"High school"
2ca7b39229,Male,60,"College advanced"
2ca3c3e041,Female,46,"High school"
2caf8b4e63,Female,67,"High school"
2ca991b207,Male,75,"High school"
2cafa9bc84,Male,44,"High school"
2caab87623,Male,62,College
2cb08af889,Female,45,College
2cad11f226,Male,27,"High school"
2ca4f44a00,Female,60,Basic
2caef34680,Female,26,"High school"
2cade42418,Male,53,"High school"
2ca3cb8894,Male,69,"College advanced"
2ca6f67871,Male,42,"High school"
2ca41fac83,Male,58,College
2ca94cf214,Male,32,"High school"
2caa200a01,Female,28,Basic
2cab425a33,Male,30,"High school"
2caf7db603,Male,79,College
2cab64c473,Female,32,College
2ca5007a20,Male,18,"College advanced"
2cb04caa75,Female,29,College
2caa56ba15,Male,52,Basic
2ca6010060,Male,49,"High school"
2cb1470414,Female,26,"High school"
2ca7d71e70,Male,27,"High school"
2cb31fac51,Female,74,"High school"
2cad838a06,Female,53,Basic
2ca2e56a50,Male,78,College
2ca29f4227,Male,83,Basic
2ca595a839,Male,58,Basic
2ca333bc34,Female,19,"College advanced"
2ca86efe96,Male,54,Basic
2ca3464a07,Male,68,College
2cad6c9c78,Male,60,"High school"
2ca7676653,Male,36,"College advanced"
2cae1f0200,Male,45,College
2caa593a79,Female,83,College
2cade5c858,Male,22,"College advanced"
2cabe08e13,Female,69,"High school"
2cad491a34,Male,33,"High school"
2ca7b01881,Male,30,College
2cb2108009,Female,19,"High school"
2caff80e88,Male,26,"High school"
2ca3996036,Male,36,College
2ca397b296,Female,68,"High school"
2caaa75096,Female,52,College
2ca4bfac61,Male,63,College
2ca317d849,Male,59,Basic
2cac2b2a44,Female,40,College
2cad54fa92,Female,18,Basic
2cae43f696,Male,49,"College advanced"
2ca7a09619,Female,81,College
2ca472cc36,Female,29,"High school"
2ca94a6821,Male,45,College
2ca2bd5635,Female,60,College
2ca757e459,Male,32,"High school"
2cb03c9273,Male,26,"High school"
2ca5f99e66,Male,55,College
2ca5c78046,Male,32,"High school"
2ca9b94e68,Female,83,"High school"
2ca9d0b482,Male,23,College
2caf317644,Male,78,"High school"
2ca891fe89,Female,42,"High school"
2cb2e10492,Female,33,"High school"
2ca33c3621,Female,43,College
2cb281b451,Female,75,"High school"
2cad2fd487,Female,49,"High school"
2cb04b0605,Male,55,College
2caf965c63,Female,61,"High school"
2caa0e3023,Male,59,"High school"
2ca3fb9e35,Female,59,"High school"
2cafe9e029,Female,42,College
2cadb40466,Male,82,"High school"
2cad4ece92,Female,59,"High school"
2cb091e204,Female,26,College
2cb29f5a28,Male,26,Basic
2cb0beb061,Male,71,College
2ca7fd7a83,Male,77,"College advanced"
2ca99eb432,Male,79,College
2cad392a64,Male,63,"High school"
2ca96fc059,Female,50,"High school"
2ca807ac80,Male,46,Basic
2ca7b6e499,Male,50,College
2ca67f2c53,Female,25,"High school"
2cabaaec89,Female,81,College
2cab4c8205,Female,31,"High school"
2cacfa3c39,Female,55,"High school"
2cafaaa291,Female,50,"High school"
2caaf3b892,Male,58,"High school"
2ca457ec97,Male,24,"High school"
2ca327e658,Female,69,College
2ca3cee431,Female,71,"High school"
2ca6286a30,Female,62,"High school"
2cae346032,Male,19,College
2caff3f433,Male,54,"High school"
2cac652283,Male,22,College
2ca8efd236,Male,76,"College advanced"
2ca367b042,Female,18,"College advanced"
2ca6457a58,Female,36,"High school"
2cae2baa45,Female,20,"High school"
2cb1fe4c33,Female,27,"High school"
2caeccfe06,Female,72,"High school"
2ca20d4845,Male,75,Basic
2ca2090640,Female,84,College
2cac10d673,Male,59,College
2cad36aa98,Female,65,"High school"
2cab9e2670,Male,18,"High school"
2caedb7234,Female,72,College
2caf9f9e16,Male,36,College
2cb2281819,Male,36,College
2ca573fc95,Male,32,"High school"
2caa067498,Female,22,"High school"
2ca3df7474,Female,48,"High school"
2cb1b37425,Male,65,Basic
2ca6e3ea35,Female,58,College
2caee32465,Male,18,Basic
2caf6aba33,Male,70,Basic
2cae95ea96,Male,50,College
2cb313c221,Male,36,"High school"
2cb0b7b255,Female,47,"High school"
2ca57fd260,Male,41,"College advanced"
2cae6b8899,Female,45,Basic
2ca9e1a843,Male,65,Basic
2caf2faa52,Male,21,Basic
2ca9cef232,Male,47,"High school"
2ca224c251,Male,65,College
2cb2d88a20,Female,50,"High school"
2caa620e58,Male,62,College
2cadc1f603,Female,25,Basic
2caf478875,Female,72,"High school"
2cb2216082,Female,58,"High school"
2caa93b431,Male,36,"High school"
2ca37ab604,Female,40,"High school"
2ca892d089,Male,36,"High school"
2cafc0dc58,Male,40,"High school"
2cad172e88,Female,33,"High school"
2ca3372244,Female,27,"High school"
2ca602b849,Male,56,Basic
2ca6a5c466,Female,20,"High school"
2ca5969885,Female,27,College
2cb113ec44,Male,38,"College advanced"
2cb0ace035,Female,45,"High school"
2cab4a0226,Female,79,"High school"
2cb00e2a34,Female,53,College
2cafbd6c68,Male,24,College
2cb1c53a60,Male,82,"College advanced"
2caf4ad036,Male,58,"High school"
2ca3d4fc17,Female,68,"High school"
2ca245ba21,Female,45,"High school"
2ca6235653,Female,51,College
2cb2565872,Female,49,"High school"
2cafdcf239,Male,26,College
2ca5bfd808,Female,49,"High school"
2ca91d0427,Female,29,"High school"
2ca406b674,Female,74,Basic
2cab478298,Female,30,"High school"
2cb0d90435,Female,32,College
2cb2667023,Female,38,College
2cb0f8da85,Female,24,College
2ca4198a30,Female,48,Basic
2cafba1021,Female,40,"High school"
2ca5903a94,Female,65,"High school"
2ca61ed813,Female,43,"High school"
2cabef0c32,Male,43,"High school"
2ca9498c93,Male,19,Basic
2ca94dc411,Female,23,"High school"
2cb1abae92,Male,29,College
2ca7bd2e02,Male,28,"High school"
2cb1c8a062,Female,59,"High school"
2cad3fec66,Male,74,Basic
2ca3aeb415,Male,75,Basic
2caf930a49,Male,18,College
2ca6783862,Male,32,"High school"
2cb1875047,Female,69,"College advanced"
2ca5c0b408,Female,56,Basic
2cb2055485,Female,76,College
2ca4fec271,Female,23,Basic
2ca28e3a75,Female,30,College
2cb031ca39,Male,45,Basic
2cacb7ca89,Male,41,Basic
2cb0176c64,Male,59,College
2ca6ed9a33,Male,41,College
2caddfd800,Male,25,College
2caf212216,Male,66,"High school"
2cb06ae611,Male,55,"High school"
2caa0fde85,Female,50,College
2cb2a5ea42,Male,46,"High school"
2ca2fec471,Male,35,College
2ca88dd047,Male,35,"High school"
2caacf6e88,Female,41,"High school"
2ca3aa7272,Male,77,Basic
2ca8948824,Female,29,College
2ca7edf807,Female,69,"High school"
2ca30f7239,Female,37,College
2ca730e843,Male,65,"High school"
2cb275c032,Male,32,"High school"
2ca5720807,Female,28,College
2ca378fe59,Female,27,"High school"
2cabf60a73,Male,66,"College advanced"
2cad104e86,Male,20,"High school"
2ca96c5a69,Female,51,Basic
2cb1e1d221,Male,36,"High school"
2ca5769a85,Female,23,"High school"
2ca6f59c56,Female,23,College
2ca8c6f640,Male,52,"High school"
2ca3b21062,Male,49,Basic
2ca242fe97,Female,57,Basic
2ca3d42a67,Female,33,College
2ca8376866,Male,46,College
2ca7e39487,Female,21,College
2ca8eac833,Male,60,"High school"
2ca60b6e21,Male,49,College
2ca995ea67,Male,21,College
2cb20b6212,Male,53,"High school"
2ca2ccc486,Male,63,Basic
2ca2422209,Male,55,"High school"
2caaa3fe42,Female,34,College
2caa613257,Male,41,"High school"
2ca6536237,Male,51,Basic
2caf7cda82,Female,20,"High school"
2cb0679e42,Male,26,Basic
2cac03b693,Male,49,College
2cae361802,Female,30,"High school"
2cafb6b404,Male,28,"High school"
2ca9c66e46,Male,30,"College advanced"
2cb052a431,Female,19,"College advanced"
2ca4b68837,Male,43,Basic
2ca3c8fe03,Male,53,"High school"
2caabf6039,Male,31,College
2cb1400612,Female,40,College
2cb1a92e32,Female,39,College
2ca7ca8a62,Male,42,Basic
2ca6cffe39,Female,24,"High school"
2ca706ea94,Female,34,"High school"
2ca7440293,Male,25,"High school"
2caa21b825,Male,42,College
2ca294fc91,Male,28,"High school"
2ca8250c38,Female,41,"High school"
2cb2507c84,Male,82,"High school"
2cb0997624,Male,22,Basic
2ca24c9046,Male,36,"High school"
2ca2b4c891,Female,83,"High school"
2ca840fa31,Female,46,College
2ca5176817,Male,57,"High school"
2cabdaa832,Female,37,College
2cafd57c32,Male,42,Basic
2ca969c691,Male,42,College
2caa38ba67,Male,65,College
2cac0f2867,Male,68,College
2ca87cbe57,Female,55,"High school"
2ca2ddcc96,Female,25,"High school"
2ca9717867,Male,67,"College advanced"
2cac66d057,Female,52,"College advanced"
2ca6b2b205,Female,61,"High school"
2cb197f469,Male,62,"High school"
2ca9f60c42,Male,24,"High school"
2cb24faa44,Female,80,College
2ca35aae94,Male,66,College
2cb0854411,Male,27,"High school"
2cabc01802,Male,72,College
2ca2bfe071,Female,48,"High school"
2cb1b6c646,Male,50,"College advanced"
2cb0895442,Female,68,"High school"
2cac073a15,Male,55,Basic
2ca953e684,Male,73,"College advanced"
2cb20e0a67,Female,75,"High school"
2ca6aa1a40,Female,39,"High school"
2cb01e1a91,Female,40,"High school"
2cb0496279,Female,73,College
2ca6a16e84,Female,38,College
2ca2f42e37,Female,34,"High school"
2ca86e2227,Female,48,"High school"
2ca2e72c08,Male,19,College
2ca8f33883,Female,67,Basic
2cacd9a899,Female,59,Basic
2caf433c88,Female,66,College
2cb296e065,Male,52,Basic
2ca6aaf633,Female,20,"High school"
2caaafde46,Male,78,"High school"
2cb0c16c93,Female,66,"High school"
2caba92017,Male,56,Basic
2ca5ac4623,Female,23,"High school"
2ca4079221,Male,60,"High school"
2cb21ecc74,Male,53,College
2ca5730249,Male,42,"High school"
2ca3b8dc60,Male,52,"High school"
2caa530e84,Male,53,"College advanced"
2cadcebc17,Female,37,"High school"
2cac92fe89,Female,47,Basic
2cad063a06,Male,49,"High school"
2ca7554618,Female,72,College
2caa6fc424,Male,61,"High school"
2ca3b4a486,Female,51,College
2cb176d475,Male,46,"College advanced"
2ca69cf013,Female,67,College
2cb0a88a71,Male,72,"High school"
2cb209b440,Female,49,"High school"
2ca5096c74,Female,76,Basic
2ca8889414,Female,80,"High school"
2caa99ae02,Male,38,Basic
2cab1da262,Female,49,"High school"
2cac72ce79,Female,57,Basic
2ca675a411,Male,45,"High school"
2ca6a33a25,Female,49,Basic
2ca9994611,Female,20,"High school"
2ca244de98,Male,58,"High school"
2cb0022c28,Female,37,"High school"
2ca6fe2a79,Male,36,Basic
2cad80e259,Male,50,"High school"
2caadca279,Female,49,"High school"
2ca8abf899,Male,56,Basic
2ca95db454,Male,61,"High school"
2ca2919669,Male,60,"High school"
2ca983a250,Male,36,"High school"
2cb0393654,Male,26,"High school"
2ca6c03698,Female,40,College
2ca2883612,Male,38,"High school"
2ca3516222,Female,32,Basic
2cac710293,Female,44,Basic
2ca8320e11,Male,20,"College advanced"
2cadafae87,Male,60,"High school"
2ca63f4425,Male,23,College
2cb30cf651,Male,68,"High school"
2cad4dfc63,Female,25,"High school"
2ca6099813,Male,49,"High school"
2caac7bc78,Male,42,College
2ca773d258,Female,35,"High school"
2cabf34e75,Male,53,"College advanced"
2ca4931027,Female,76,"High school"
2cb148a896,Female,21,College
2ca7a17213,Male,53,"High school"
2ca93ffa48,Female,74,"High school"
2ca7cd4683,Female,60,Basic
2ca2b3f671,Male,62,College
2caa53ea55,Male,52,"High school"
2cb1f87003,Male,31,College
2ca6f75497,Female,35,Basic
2ca933b604,Female,45,"High school"
2ca7f41032,Female,34,Basic
2cadd90c44,Female,29,College
2caaea4433,Female,43,Basic
2cad801060,Male,36,College
2cb2f6bc71,Female,25,"High school"
2ca4209c19,Female,78,College
2cb2c3c226,Female,60,"High school"
2caa449064,Female,24,Basic
2ca7eb6496,Female,24,"High school"
2ca6cc8444,Male,57,"High school"
2ca4ecac22,Male,33,College
2caeda9672,Male,26,College
2ca2283239,Male,34,"High school"
2cafc97e34,Male,41,"High school"
2ca39b1862,Male,60,Basic
2ca5ca2863,Male,18,College
2cab37e260,Female,73,"High school"
2caca48821,Female,37,"High school"
2ca86d5015,Female,48,"College advanced"
2ca4146c44,Male,74,"High school"
2ca73a7046,Male,82,College
2caee82e17,Male,59,"High school"
2cab28a633,Female,46,"High school"
2caff59822,Male,22,Basic
2caf9a9411,Male,44,"High school"
2cb235ec80,Female,19,"High school"
2ca9791622,Female,34,College
2cac9a1026,Female,30,"High school"
2cabe24603,Female,65,College
2caca3ac92,Female,35,College
2cb15c8a45,Female,66,"High school"
2ca307de01,Male,31,"High school"
2cafef9e00,Male,65,"High school"
2caa7a0024,Female,48,College
2ca2830e73,Female,44,"High school"
2cabbb0e49,Female,22,College
2ca3e49215,Female,29,College
2ca21ebe39,Male,58,"High school"
2caae1d413,Female,25,College
2ca9e37486,Male,62,"High school"
2cb1521c12,Female,63,College
2ca2a89880,Female,24,Basic
2ca903d266,Female,52,"High school"
2cae283a51,Male,25,College
2ca2fcf849,Male,43,College
2cb0ab3244,Male,18,Basic
2cb0daa889,Male,20,College
2cad340c38,Male,54,College
2cb28a4205,Female,39,"High school"
2cb15ac815,Female,49,"High school"
2cad09a073,Male,52,College
2cab6d2a80,Female,53,"High school"
2cac835e34,Female,21,College
2caa879885,Male,58,"High school"
2cb26c8873,Female,69,"High school"
2ca2e13231,Male,42,"High school"
2caa716891,Female,45,"College advanced"
2ca322d228,Female,75,"High school"
2ca5fc5041,Female,49,"High school"
2cae4ab877,Female,82,"High school"
2cae29fc82,Female,55,College
2ca328c263,Male,50,"High school"
2caa5cfa59,Male,36,"High school"
2caad50493,Male,34,"High school"
2ca945d652,Male,66,"High school"
2cafa81812,Female,29,"High school"
2ca477e092,Female,26,"High school"
2ca33b5a60,Female,72,"High school"
2cae77fe29,Male,44,"High school"
2ca68a9e22,Male,69,"High school"
2cb2944c17,Female,29,College
2ca4609845,Male,55,"College advanced"
2cb2174204,Female,55,Basic
2ca65a4278,Male,55,College
2cb1bf4a06,Female,68,"High school"
2cad2ef816,Female,63,"High school"
2cae772c83,Male,32,Basic
2ca4e3c410,Female,66,"High school"
2ca7c32816,Male,31,"College advanced"
2ca51f4289,Male,69,"High school"
2ca6000699,Male,62,"College advanced"
2cb2ea6e24,Female,18,Basic
2cac3a3405,Female,49,"High school"
2cafc51e85,Male,71,"High school"
2cb1f78052,Female,25,"High school"
2ca9abac64,Male,41,"High school"
2caf2de813,Female,24,College
2cb0d4b858,Male,21,"High school"
2ca70f9681,Female,64,"High school"
2ca25ee242,Female,24,"High school"
2cb32b7890,Female,42,"High school"
2ca9f2ba19,Female,76,"High school"
2cab74e687,Male,34,College
2ca53c9811,Female,23,"High school"
2ca7a93832,Male,32,College
2ca5a39054,Female,36,"High school"
2cace60058,Male,45,"College advanced"
2caa0d3614,Male,49,"High school"
2ca8095a68,Male,73,College
2cac145004,Male,60,"High school"
2ca67ac200,Male,27,College
2cb2835877,Female,27,"High school"
2cb1044211,Male,77,College
2ca85be442,Female,44,"High school"
2ca2de9e84,Female,36,College
2ca99de205,Male,28,"High school"
2cb1938005,Female,55,"High school"
